Subject 18 in condition 2
Training Condition: 3
Task: 1
Rule: [[[250, 350], [[4538, 4463], [4463, 4538]]], [[350, 250], [[4538, 4463], [4463, 4538]]]]
Noise: 0
CATA=0
CATB=1
Sample keys: 122 120
Resp keys: 307 309
Dim direction: 1 1
Dim minimum: 11 45
Test order: [1, 2, 5, 6, 0, 4, 7, 3]
18 2 3 1 0 1 599 599 1 5037 
18 2 3 1 0 1 599 0 1 3219 
18 2 3 1 0 1 599 407 1 2443 
18 2 3 1 0 1 599 248 1 1770 
18 2 3 1 0 1 599 223 1 1762 
18 2 3 1 0 1 599 0 0 2225 
18 2 3 1 0 1 599 0 0 1481 
18 2 3 1 0 1 599 599 1 1330 
18 2 3 1 0 1 599 0 0 1282 
18 2 3 1 0 1 599 396 1 1178 
18 2 3 1 0 1 599 510 1 2033 
18 2 3 1 0 1 0 267 0 1802 
18 2 3 1 0 1 599 235 1 1697 
18 2 3 1 0 1 369 396 0 1506 
18 2 3 1 0 1 87 0 1 1696 
18 2 3 1 0 1 47 0 1 1384 
18 2 3 1 0 2 50 249 0 3260 3 
18 2 3 1 0 2 416 516 1 6338 2 
18 2 3 1 0 2 183 50 1 4483 1 
18 2 3 1 0 2 316 349 0 2495 1 
18 2 3 1 0 2 516 482 1 2103 1 
18 2 3 1 0 2 516 549 1 3568 2 
18 2 3 1 0 2 249 349 0 11662 2 
18 2 3 1 0 2 516 183 0 2906 1 
18 2 3 1 0 2 183 116 0 2831 1 
18 2 3 1 0 2 216 416 1 3500 1 
18 2 3 1 0 2 149 516 0 2733 1 
18 2 3 1 0 2 249 516 0 2748 1 
18 2 3 1 0 2 149 50 1 2952 1 
18 2 3 1 0 2 449 549 1 2841 1 
18 2 3 1 0 2 482 249 0 2005 1 
18 2 3 1 0 2 249 149 1 2053 1 
18 2 3 1 0 2 416 449 1 4388 1 
18 2 3 1 0 2 283 116 0 3223 2 
18 2 3 1 0 2 50 316 0 3208 2 
18 2 3 1 0 2 149 316 0 2371 2 
18 2 3 1 0 2 50 482 1 3267 2 
18 2 3 1 0 2 482 516 1 3220 2 
18 2 3 1 0 2 349 116 0 5331 2 
18 2 3 1 0 2 383 183 0 1623 2 
18 2 3 1 0 2 216 482 1 3483 1 
18 2 3 1 0 2 283 249 0 3175 1 
