Subject 142 in condition 2
Training Condition: 2
Task: 1
Rule: [[[250, 350], [[4538, 4463], [4463, 4538]]], [[350, 250], [[4538, 4463], [4463, 4538]]]]
Noise: 0
CATA=0
CATB=1
Sample keys: 122 120
Resp keys: 309 307
Dim direction: 1 1
Dim minimum: 38 86
Test order: [2, 5, 4, 1, 6, 3, 0, 7]
142 2 2 1 0 1 278 171 1 9553 
142 2 2 1 0 1 308 214 1 2393 
142 2 2 1 0 1 239 345 0 1793 
142 2 2 1 0 1 249 336 0 1451 
142 2 2 1 0 1 212 318 0 1395 
142 2 2 1 0 1 268 360 0 954 
142 2 2 1 0 1 233 146 1 1162 
142 2 2 1 0 1 191 302 0 920 
142 2 2 1 0 1 283 387 0 1090 
142 2 2 1 0 1 287 379 0 1065 
142 2 2 1 0 1 269 361 0 1144 
142 2 2 1 0 1 408 505 0 1194 
142 2 2 1 0 1 168 267 0 1353 
142 2 2 1 0 1 302 409 0 898 
142 2 2 1 0 1 310 395 0 1024 
142 2 2 1 0 1 100 200 0 4962 
142 2 2 1 0 2 116 316 0 3176 1 
142 2 2 1 0 2 449 116 1 1865 1 
142 2 2 1 0 2 416 482 0 8825 4 
142 2 2 1 0 2 449 83 1 4233 4 
142 2 2 1 0 2 416 349 0 3117 4 
142 2 2 1 0 2 149 116 1 1630 4 
142 2 2 1 0 2 83 149 1 2229 4 
142 2 2 1 0 2 549 316 0 1529 4 
142 2 2 1 0 2 349 383 0 1324 4 
142 2 2 1 0 2 149 83 1 1851 4 
142 2 2 1 0 2 416 249 1 5127 3 
142 2 2 1 0 2 83 449 0 4890 4 
142 2 2 1 0 2 216 449 0 1207 4 
142 2 2 1 0 2 83 83 1 1586 4 
142 2 2 1 0 2 183 349 0 2132 4 
142 2 2 1 0 2 216 349 0 962 4 
142 2 2 1 0 2 83 349 0 953 4 
142 2 2 1 0 2 516 383 0 993 4 
142 2 2 1 0 2 283 216 0 6235 4 
142 2 2 1 0 2 149 249 0 3868 3 
142 2 2 1 0 2 50 149 1 4192 2 
142 2 2 1 0 2 316 283 0 1581 3 
142 2 2 1 0 2 183 383 0 7162 3 
142 2 2 1 0 2 249 183 1 3806 2 
142 2 2 1 0 2 482 50 1 2709 4 
